epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,50.2958,1.26025,2.73992,2.07053,0,0,0,0,4.35506,4.02139,5.63967,0.000437322,0.000437322,0.000437322
71,50.8843,1.60008,5.44555,1.96718,0,0,0,0,4.35506,4.02139,5.63967,0.0004298,0.0004298,0.0004298
72,51.4665,2.26868,3.26272,2.18849,0.00333,1,0.4975,0.0995,3.34533,3.65817,5.07539,0.000421882,0.000421882,0.000421882
73,52.0497,1.00827,4.95239,1.65718,0.00333,1,0.4975,0.0995,3.34533,3.65817,5.07539,0.000413568,0.000413568,0.000413568
74,52.6315,2.11169,2.29769,1.7347,0.00333,1,0.24875,0.05804,3.01836,3.40977,4.4179,0.000404858,0.000404858,0.000404858
75,53.2244,3.34005,2.74195,3.44042,0.00333,1,0.24875,0.05804,3.01836,3.40977,4.4179,0.000395752,0.000395752,0.000395752
76,53.8462,2.24396,2.67993,2.77431,0.00333,1,0.4975,0.10133,2.88111,3.53422,3.58622,0.00038625,0.00038625,0.00038625
77,54.4059,2.21327,2.72789,2.19343,0.00333,1,0.4975,0.10133,2.88111,3.53422,3.58622,0.000376352,0.000376352,0.000376352
78,54.9666,3.47402,3.31435,3.27084,0.00333,1,0.24875,0.07755,2.50916,3.58679,2.96265,0.000366058,0.000366058,0.000366058
79,55.5306,1.73707,3.19108,2.21224,0.00333,1,0.24875,0.07755,2.50916,3.58679,2.96265,0.000355368,0.000355368,0.000355368
80,56.0826,2.91322,3.46306,2.73758,0.00333,1,0.33167,0.13616,2.25935,3.29329,2.61207,0.000344282,0.000344282,0.000344282
81,56.6492,2.74628,2.60303,3.16058,0.00333,1,0.33167,0.13616,2.25935,3.29329,2.61207,0.0003328,0.0003328,0.0003328
82,57.2013,2.59846,3.1279,2.72131,0.00333,1,0.33167,0.14861,1.58212,3.11632,2.02181,0.000320922,0.000320922,0.000320922
83,58.0412,1.78421,2.80119,2.08382,0.00333,1,0.33167,0.14861,1.58212,3.11632,2.02181,0.000308648,0.000308648,0.000308648
84,58.6481,2.3991,2.73901,2.48212,0.00333,1,0.33167,0.14759,1.67399,3.16042,2.05188,0.000295978,0.000295978,0.000295978
85,59.1822,2.30739,2.55497,2.90561,0.00333,1,0.33167,0.14759,1.67399,3.16042,2.05188,0.000282912,0.000282912,0.000282912
86,59.7862,1.92238,2.40732,2.19777,0.00333,1,0.33167,0.199,1.76662,3.27461,2.17224,0.00026945,0.00026945,0.00026945
87,60.333,2.22331,2.77056,2.4703,0.00333,1,0.33167,0.199,1.76662,3.27461,2.17224,0.000255592,0.000255592,0.000255592
88,60.9319,2.20353,3.15521,2.08173,0.00333,1,0.995,0.51408,1.84265,3.13957,2.4505,0.000241338,0.000241338,0.000241338
89,61.4687,1.83648,2.94986,2.21207,0.00333,1,0.995,0.51408,1.84265,3.13957,2.4505,0.000226688,0.000226688,0.000226688
90,62.0877,1.07145,2.56186,1.88571,0.00333,1,0.995,0.44064,1.80292,3.03445,2.45307,0.000211642,0.000211642,0.000211642
91,63.2562,3.01877,3.05842,4.13984,0.00333,1,0.995,0.44064,1.80292,3.03445,2.45307,0.0001962,0.0001962,0.0001962
92,63.9263,1.06123,2.79227,1.8283,0.00333,1,0.995,0.42643,1.8611,3.37182,2.29446,0.000180362,0.000180362,0.000180362
93,64.5176,2.60305,2.74835,3.52247,0.00333,1,0.995,0.42643,1.8611,3.37182,2.29446,0.000164128,0.000164128,0.000164128
94,65.0996,2.22072,2.44327,2.12451,0.00333,1,0.995,0.42288,1.83516,3.39107,2.25559,0.000147498,0.000147498,0.000147498
95,65.6426,2.06883,2.76834,1.91215,0.00333,1,0.995,0.42288,1.83516,3.39107,2.25559,0.000130472,0.000130472,0.000130472
96,66.1901,1.69472,2.65825,2.06855,0.00333,1,0.995,0.4975,1.94467,3.3561,2.27591,0.00011305,0.00011305,0.00011305
97,66.7374,1.57959,3.53186,1.76782,0.00333,1,0.995,0.4975,1.94467,3.3561,2.27591,9.5232e-05,9.5232e-05,9.5232e-05
98,67.3267,1.10582,2.62627,1.92149,0.00333,1,0.995,0.597,2.07384,3.11008,2.28157,7.7018e-05,7.7018e-05,7.7018e-05
99,67.8974,1.57127,2.20085,1.92066,0.00333,1,0.995,0.597,2.07384,3.11008,2.28157,5.8408e-05,5.8408e-05,5.8408e-05
100,68.5057,2.29853,2.60999,3.32525,0.00333,1,0.995,0.6965,1.92949,3.30583,2.30175,3.9402e-05,3.9402e-05,3.9402e-05
